Model,Fold,F2_Score,F1_Score,Accuracy,Precision,Recall
NeuralNetwork,2,0.795445236339805,0.8680802621049479,0.889625,0.8774880830478069,0.8602822580645162
NeuralNetwork,3,0.7871125611745514,0.8574811273836653,0.88,0.8638065899549998,0.8519752220663861
NeuralNetwork,4,0.8216473243068988,0.8700895302087092,0.88875,0.8697632525819143,0.8704184198223468
NeuralNetwork,5,0.8048387096774193,0.8585787751285647,0.879,0.8585787751285647,0.8585787751285647
NeuralNetwork,6,0.777082647349358,0.859751386760832,0.8835,0.872416332919026,0.8498480598410472
NeuralNetwork,7,0.7843378433784338,0.8610061066981984,0.883875,0.8709199097845386,0.8528956287985039
NeuralNetwork,8,0.771031876437726,0.8532638001795043,0.87775,0.8642876478157202,0.8444600280504908
NeuralNetwork,9,0.7945562708825686,0.8619652797086979,0.883625,0.8678061839502277,0.8568226975222066
NeuralNetwork,10,0.7940791625776905,0.8652833773099653,0.887,0.8734512606096184,0.8583800841514726
NeuralNetwork,11,0.7747925396434147,0.8560968610677655,0.880125,0.8672637637944335,0.8471803412809724
NeuralNetwork,12,0.810114350136898,0.8609013026942937,0.88075,0.8601921886473192,0.8616234221598877
NeuralNetwork,13,0.7978897431702928,0.8682322876954223,0.8895,0.8765744803419007,0.8611909770920991
NeuralNetwork,14,0.8014022501222893,0.8673731297515821,0.88825,0.8735565372394016,0.8619506778868631
NeuralNetwork,15,0.7888925241289056,0.8616737137798098,0.884,0.8698724574581481,0.8547627395979429
NeuralNetwork,16,0.8055623124949323,0.8647200261153647,0.885125,0.8676078600261352,0.8620178821879383
NeuralNetwork,17,0.7734555665675586,0.8605612455238194,0.88475,0.8757969076147063,0.8490883590462833
NeuralNetwork,18,0.7706255666364461,0.8563237642208896,0.880875,0.8697990517568595,0.8459472884525479
NeuralNetwork,19,0.8101052293356896,0.8583207128270014,0.878125,0.8564601996840309,0.8602764142122488
NeuralNetwork,20,0.8033972691807543,0.8655971150937689,0.88625,0.8698564982122029,0.8617227676484338
XGBoost,1,0.7830264211369096,0.8353632623536327,0.85775,0.8322942866765555,0.8387388966806919
XGBoost,2,0.781601801222258,0.8387659600599418,0.8615,0.8374580656084067,0.8401238896680692
XGBoost,3,0.7759379249660027,0.8293422855659537,0.852375,0.8259986333905291,0.8330674380551659
XGBoost,4,0.7863501483679525,0.8394871680267574,0.861625,0.8370547073722674,0.8421020336605891
XGBoost,5,0.7685817597428686,0.8286025025452037,0.852625,0.8270310592703106,0.8302507012622721
XGBoost,6,0.7735894550715319,0.8324729028192324,0.856,0.8309843801708166,0.8340287517531557
XGBoost,7,0.7796732340221048,0.8332666472289155,0.856,0.8303411934498615,0.836471482000935
XGBoost,8,0.7707113641831743,0.8281773207874503,0.851875,0.825827323264241,0.8307065217391305
XGBoost,9,0.7777777777777778,0.8299380493764335,0.85275,0.8263226257680971,0.834005376344086
XGBoost,10,0.7845883011922862,0.8359196795027051,0.858125,0.8326294370883698,0.8395658017765311
XGBoost,11,0.7830264211369096,0.8353632623536327,0.85775,0.8322942866765555,0.8387388966806919
XGBoost,12,0.7787278248361835,0.830298512276409,0.853,0.8265625361009826,0.8345196353436185
XGBoost,13,0.7836149595579402,0.8360341123576245,0.858375,0.8330524745579737,0.8393028284244974
XGBoost,14,0.7839441815702943,0.8377471915284025,0.860125,0.8353274175094942,0.8403488779803647
XGBoost,15,0.7825072417122626,0.840081142071156,0.86275,0.839051960165925,0.8411407199625993
XGBoost,16,0.7868930877780436,0.8338350382236059,0.855625,0.8292344350001499,0.8391976390836839
XGBoost,17,0.7734806629834254,0.8285453817314996,0.851875,0.8255706843897959,0.8318168536699393
XGBoost,18,0.7675863181671507,0.8319145459398009,0.85625,0.8320625287334809,0.8317671809256661
XGBoost,19,0.7692616050669446,0.8268019020122339,0.850625,0.8243361176327868,0.8294676250584385
XGBoost,20,0.785668637162486,0.8349858666981501,0.857,0.8310780171800767,0.839416783543712
