Comparison,Model1_Mean,Model1_Std,Model2_Mean,Model2_Std,Mean_Difference,CI_Lower,CI_Upper,Test_Used,Test_Statistic,P_Value,Cohen_d,Diff_Normal,Significant
SVM vs RandomForest,0.873332100411395,0.003726566877093285,0.794533040198872,0.007316728055695316,0.07879906021252292,0.07628259347811941,0.08131552694692643,Paired t-test,61.37421007997338,2.5912425391505703e-23,13.723690580417328,True,True
SVM vs NeuralNetwork,0.873332100411395,0.003726566877093285,0.7938151217951632,0.014605468245658617,0.07951697861623175,0.07340864741503941,0.08562530981742408,Paired t-test,25.514870257426843,3.6550406091862925e-16,5.705298433269398,True,True
SVM vs XGBoost,0.873332100411395,0.003726566877093285,0.7788274563827253,0.006173131973320378,0.09450464402866965,0.09202755505427444,0.09698173300306485,Paired t-test,74.77692735741049,6.167324884190923e-25,16.72062927197335,True,True
