Model,F2_Mean,F2_Std,F1_Mean,F1_Std,Accuracy_Mean,Accuracy_Std,Rank,F2_Normal,vs_RandomForest_pvalue,vs_RandomForest_cohend,vs_RandomForest_significant,vs_NeuralNetwork_pvalue,vs_NeuralNetwork_cohend,vs_NeuralNetwork_significant,vs_XGBoost_pvalue,vs_XGBoost_cohend,vs_XGBoost_significant
SVM,0.873332100411395,0.003823376943495287,0.8558562727456224,0.0033623624123279984,0.8687374999999999,0.003229158885106633,1,True,2.5912425391505703e-23,13.723690580417328,True,3.6550406091862925e-16,5.705298433269398,True,6.167324884190923e-25,16.72062927197335,True
RandomForest,0.794533040198872,0.0075068045932374945,0.8442571151060398,0.0048050088222145754,0.8655375000000001,0.004145602457646197,2,True,,,,,,,,,
NeuralNetwork,0.7938151217951632,0.014984894242112873,0.862206172615642,0.00484187507968122,0.88398125,0.003915487761172889,3,True,,,,,,,,,
XGBoost,0.7788274563827253,0.0063334997691914165,0.833347136672937,0.004049529948700877,0.8562,0.0036140715485301032,4,True,,,,,,,,,
